iter	Passed	Remaining
0	3	353
1	6	294
2	8	270
3	10	247
4	12	239
5	14	232
6	17	236
7	21	249
8	24	242
9	26	236
10	29	236
11	31	232
12	34	229
13	37	230
14	43	244
15	46	244
16	48	239
17	51	233
18	53	229
19	56	224
20	59	223
21	62	222
22	65	219
23	68	216
24	70	211
25	72	207
26	76	205
27	78	202
28	82	200
29	84	198
30	88	196
31	90	192
32	92	188
33	95	185
34	98	182
35	102	182
36	105	178
37	107	175
38	109	171
39	111	167
40	114	165
41	115	160
42	118	156
43	125	159
44	128	157
45	131	153
46	134	152
47	137	148
48	139	145
49	142	142
50	144	138
51	148	136
52	151	134
53	153	131
54	155	127
55	157	124
56	160	120
57	163	118
58	165	114
59	171	114
60	173	111
61	176	108
62	178	104
63	181	102
64	183	99
65	186	95
66	190	93
67	195	91
68	197	88
69	199	85
70	201	82
71	204	79
72	207	76
73	210	74
74	214	71
75	216	68
76	219	65
77	221	62
78	223	59
79	227	56
80	231	54
81	233	51
82	236	48
83	238	45
84	241	42
85	243	39
86	245	36
87	248	33
88	251	31
89	254	28
90	256	25
91	258	22
92	261	19
93	265	16
94	267	14
95	275	11
96	277	8
97	280	5
98	284	2
99	286	0
