iter	Passed	Remaining
0	148	148231
1	152	76245
2	155	51518
3	157	39139
4	159	31705
5	161	26768
6	163	23257
7	166	20655
8	168	18589
9	171	17008
10	174	15655
11	176	14522
12	178	13578
13	181	12758
14	183	12043
15	185	11414
16	187	10868
17	190	10371
18	194	10063
19	197	9660
20	199	9291
21	201	8961
22	203	8663
23	207	8438
24	210	8199
25	214	8022
26	218	7865
27	220	7662
28	222	7466
29	225	7280
30	227	7107
31	229	6943
32	231	6798
33	234	6661
34	236	6524
35	239	6414
36	241	6294
37	244	6181
38	246	6076
39	248	5970
40	251	5872
41	253	5777
42	255	5685
43	259	5629
44	262	5562
45	264	5483
46	266	5407
47	268	5333
48	271	5261
49	273	5200
50	275	5134
51	278	5072
52	282	5046
53	284	4985
54	287	4933
55	289	4876
56	291	4820
57	293	4768
58	295	4718
59	298	4668
60	300	4621
61	305	4627
62	308	4582
63	310	4542
64	312	4497
65	314	4455
66	317	4425
67	319	4385
68	322	4349
69	324	4313
70	327	4284
71	329	4253
72	332	4226
73	335	4198
74	337	4161
75	339	4125
76	341	4090
77	344	4070
78	346	4043
79	350	4036
80	353	4012
81	355	3984
82	359	3966
83	361	3940
84	364	3921
85	366	3894
86	368	3868
87	371	3854
88	374	3831
89	376	3806
90	378	3782
91	380	3759
92	383	3735
93	385	3714
94	387	3694
95	389	3671
96	392	3652
97	395	3638
98	397	3617
99	400	3600
100	402	3579
101	404	3561
102	406	3543
103	409	3524
104	411	3507
105	413	3489
106	417	3483
107	419	3466
108	422	3449
109	424	3433
110	426	3417
111	429	3402
112	431	3385
113	433	3369
114	435	3353
115	437	3337
116	446	3366
117	447	3348
118	449	3329
119	451	3311
120	453	3294
121	455	3274
122	456	3258
123	459	3244
124	464	3253
125	468	3247
126	471	3241
127	474	3229
128	476	3216
129	478	3202
130	481	3193
131	486	3196
132	488	3186
133	491	3178
134	494	3170
135	497	3161
136	502	3163
137	505	3156
138	509	3154
139	511	3144
140	514	3135
141	516	3120
142	527	3160
143	533	3173
144	537	3168
145	540	3160
146	543	3152
147	546	3144
148	548	3133
149	550	3121
150	553	3109
151	559	3122
152	562	3115
153	564	3103
154	567	3092
155	569	3081
156	571	3070
157	574	3059
158	576	3048
159	580	3049
160	582	3034
161	585	3026
162	587	3018
163	590	3008
164	592	2997
165	594	2986
166	596	2976
167	601	2977
168	604	2974
169	607	2968
170	610	2958
171	612	2949
172	614	2939
173	617	2930
174	619	2920
175	625	2929
176	628	2922
177	631	2917
178	633	2907
179	636	2899
180	638	2890
181	640	2880
182	643	2872
183	648	2876
184	651	2868
185	653	2859
186	655	2849
187	657	2840
188	660	2833
189	662	2825
190	665	2817
191	668	2813
192	670	2805
193	673	2796
194	675	2790
195	678	2784
196	680	2775
197	683	2767
198	685	2759
199	687	2751
200	690	2745
201	693	2739
202	695	2731
203	697	2723
204	700	2715
205	702	2707
206	704	2699
207	707	2692
208	709	2684
209	711	2676
210	714	2671
211	716	2663
212	718	2656
213	721	2648
214	728	2658
215	730	2649
216	731	2640
217	733	2632
